"COU","Country","SER","Service","EXP","Expression","MEASURE","Measure","PAR","Partner","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ECU","Ecuador","2014","2014","USD","US Dollar","6","Millions",,,8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","PRY","Paraguay","2014","2014","USD","US Dollar","6","Millions",,,-2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","PER","Peru","2014","2014","USD","US Dollar","6","Millions",,,6.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SUR","Suriname","2014","2014","USD","US Dollar","6","Millions",,,-4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","URY","Uruguay","2014","2014","USD","US Dollar","6","Millions",,,-21.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","VEN","Venezuela","2014","2014","USD","US Dollar","6","Millions",,,12,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","IRN","Iran","2014","2014","USD","US Dollar","6","Millions",,,5.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BHR","Bahrain","2014","2014","USD","US Dollar","6","Millions",,,17.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","IRQ","Iraq","2014","2014","USD","US Dollar","6","Millions",,,25.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","KWT","Kuwait","2014","2014","USD","US Dollar","6","Millions",,,5.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","OMN","Oman","2014","2014","USD","US Dollar","6","Millions",,,-2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","QAT","Qatar","2014","2014","USD","US Dollar","6","Millions",,,41.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SAU","Saudi Arabia","2014","2014","USD","US Dollar","6","Millions",,,110.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ARE","United Arab Emirates","2014","2014","USD","US Dollar","6","Millions",,,99.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ARM","Armenia","2014","2014","USD","US Dollar","6","Millions",,,10.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","AZE","Azerbaijan","2014","2014","USD","US Dollar","6","Millions",,,29.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","GEO","Georgia","2014","2014","USD","US Dollar","6","Millions",,,13.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","JOR","Jordan","2014","2014","USD","US Dollar","6","Millions",,,-6.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","LBN","Lebanon","2014","2014","USD","US Dollar","6","Millions",,,25.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SYR","Syrian Arab Republic","2014","2014","USD","US Dollar","6","Millions",,,26.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","AFG","Afghanistan","2014","2014","USD","US Dollar","6","Millions",,,1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BGD","Bangladesh","2014","2014","USD","US Dollar","6","Millions",,,-2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BTN","Bhutan","2014","2014","USD","US Dollar","6","Millions",,,4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","KHM","Cambodia","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
