country1,country2,value
algeria,nigeria,63
algeria,nokorea,23
algeria,norway,55
algeria,oman,55
algeria,pakistan,46
algeria,palau,17
algeria,panama,38
algeria,papuanewguinea,34
algeria,paraguay,32
algeria,peru,43
algeria,philippines,43
algeria,poland,41
algeria,portugal,53
algeria,qatar,58
algeria,romania,45
algeria,russia,44
algeria,rwanda,48
algeria,sanmarino,17
algeria,saotome,40
algeria,saudiarabia,71
algeria,senegal,62
algeria,seychelles,48
algeria,sierraleone,55
algeria,singapore,32
algeria,slovakia,38
algeria,slovenia,43
algeria,soafrica,62
algeria,sokorea,51
algeria,sosudan,26
algeria,solomonis,22
algeria,somalia,57
algeria,spain,54
algeria,srilanka,41
algeria,stkitts,26
algeria,stlucia,27
algeria,stvincent,25
algeria,sudan,76
algeria,suriname,31
algeria,swaziland,52
algeria,sweden,53
algeria,switzerland,54
algeria,syria,60
algeria,taiwan,3
algeria,tajikistan,29
algeria,tanzania,56
algeria,thailand,41
algeria,togo,60
algeria,tonga,27
algeria,trinidad,37
algeria,tunisia,92
algeria,turkey,48
algeria,turkmenistan,29
algeria,tuvalu,20
algeria,uae,60
algeria,uk,52
algeria,usa,43
algeria,uganda,54
algeria,ukraine,39
algeria,uruguay,37
algeria,uzbekistan,32
algeria,vanuatu,28
algeria,venezuela,41
algeria,vietnam,31
algeria,wsamoa,24
algeria,yemen,53
algeria,yugoslaviaserb,43
algeria,zaire,51
algeria,zambia,51
algeria,zimbabwe,52
andorra,afghanistan,12
andorra,albania,20
andorra,algeria,15
andorra,angola,16
andorra,antiguabarbuda,11
andorra,argentina,17
andorra,armenia,18
andorra,australia,16
andorra,austria,19
andorra,azerbaijan,18
andorra,bahamas,14
andorra,bahrain,14
andorra,bangladesh,16
andorra,barbados,14
andorra,belarus,15
andorra,belgium,20
andorra,belize,13
andorra,benin,18
andorra,bhutan,13
andorra,bolivia,17
andorra,bosnia,18
andorra,botswana,14
andorra,brazil,17
andorra,brunei,13
andorra,bulgaria,21
